iff_id,callsign,vehicle_ip,c2_port,payload_port,payload_security,security_mode,mode1,mode2,mode3,mode4,mode5,mode6,mode7
2121,ANCALAGON-041,10.59.144.230,33549,33550,f,5,13,aeba6ac42a81a28a8b92a29785651209,7cc232c9affd15d25417495df88edca2,e7501b78800f49bca5513bfd7f348b22,28f748246351937a5a29636f7e35f06b,b46e101e3bb42bc93a0b99d7a3b9b1a6,8e2fc6b813aaee46e40cbe3efaf5250f
2122,ANCALAGON-042,10.59.144.230,37347,37348,f,5,13,62f4a0c1e4695d504614004142f86cbb,17cfd15ae511a6fdc733ba59936f977e,2c551068ed1f7e091b8d0e37503f549d,ca36525f890e7a5cb98a5a1e01d0a15b,029e067e0f737ff21db4689ee6558ccc,9485ebde0a9d0b10ad500a1a5a1e9bff
2149,GLAURUNG-101,10.59.144.230,6149,6150,f,2,8,73e8a710dd22aa910b3d36203820e802,f21d388d93d8060fdaf7e1cf99e89db3,c4df55e77d5fa58c5ee2248c656ea4c0,dcf47a2b3467da48a258695252971fdb,2f2cff33f47347d8a254f2788d7e7430,0845f33e36320a1ecee5b4a64c2433a8
2150,GLAURUNG-102,10.59.144.230,5720,5721,t,2,16,d6be7ff85d1d43b25622699a520d595e,a0519b3f60d6a95462a7d8030f4b4b37,6d4bf7d73bd15a975cddd0f7f60dc795,5859a79b2be8c195b25e6c20a3c7f94f,4216e4e5bdb747fe4e016e37861e5f4a,a4c1c0e63decfa65d5156e2cded31f28
2151,GLAURUNG-103,10.59.144.230,10726,10727,t,7,0b,16ba079e6fe006640b2622487588ee83,0891d574c839c34af89e19c2db7d43d8,99c7b7ba708cf6f1f13b5c636cce8671,ee6a58fd367425a724e01dae4f8e4407,8d89fe7591857fcf7c715c4294855f63,0d863bb4bad0aac5dab3601e98e1934c
2152,GLAURUNG-104,10.59.144.230,39146,39147,t,0,5,55deba37b3a1601a73a8e690d5d59467,db4525b391136ecf45943171c79b5c31,027fa8e27543281d423fd8ceabf0d94a,ec6596ee6cfcde28334b76c89b9a517a,51fb5d70f72acbdf566cb88ca72460d8,26dc3d13097fc1076b11440a081cb3ec
2153,GLAURUNG-105,10.59.144.230,63106,63107,t,3,3,1b0ea443a77c998d37088129dcc62c16,796d6fe1ea8c6a24e9bd7ddee006cfc4,807719ec97182fd879bd8138eac2533f,2f512a78cc06ccd8ed8bc11b7cf8aedc,a7b02369ebbe6693bf93dbcab7853332,7f1e6bd3abf4899d67a3d6ce6d3f3d2b
2154,GLAURUNG-106,10.59.144.230,8572,8573,f,6,0d,de85621f9d55f310a2de76dbd248dfb3,177cac3a6cace2cdae907f7ee44fcb87,8b3c7d0b2a1c0718b0470bcee8928c64,60eec3a1262d1decb5fee2880b21e8b5,9f5632cb7dd95728685533a3e16e039a,04c90ffe1dce979e545818c71f2a24f1
2155,GLAURUNG-107,10.59.144.230,49278,49279,t,4,0d,65bd1d73185d787761a308f4ee3c6360,2f94c01090884c7b06eb5833e8d98f4e,4cef3159414a89b6d4f169b2c5bb3515,2bc404a393385495ce09bd76a1734162,ee498dd34502e07d45d100f0a1cbb72f,024a491389f058e76d03ebe89e704375
2156,GLAURUNG-108,10.59.144.230,39106,39107,f,0,7,4b157119088fcc51883e79256307445d,ba8e48f432fb199b31fcfc65474471ac,598bf7f6f24b59fbd684338dac6cc6e4,4eb9a708b91fc5e8fa9e6e520e8b1722,2cf0b49e5eee1cad05c152d4b0be82d0,377eaf73db561c51c23f4c890558f073
2174,GLAURUNG-109,10.59.144.230,6913,6914,f,1,18,01c16cdd7897303137f0478a9b263f00,097e26ab727d204b896064f8fac85c84,cca3099102d00827e17995651de3a528,94a6b49744038dfcad8a9af168800c39,920da6ec277ba1a6e0f5edd863e76ccb,59f91230cd7f344803dddb2cc654fd61
2175,GLAURUNG-110,10.59.144.230,41386,41387,f,4,9,e72696f7bc566da1089b03af44565fcb,07cf3b9b5dd7cee6199bb222d922ab85,1fce66ae0397eba517d6c5fd2c3dc4fc,2f597f1c957a039a869a83cbf85ae691,b758ebf5bf80ced1fc2259cd163b6933,ea9d64ed5a5691686299d976d0578fa5
2176,GLAURUNG-111,10.59.144.230,20656,20657,f,1,19,7ab220ca7324034fbdb908fe94a80b29,3151c125714ea3f27bd90cb054220e70,34ff134d5eeda258a3e26352575e2726,78393112d30003d961a89f33f8119946,5395f0d82b750e70b842e73afe5f22c9,04f5fcfb95b015670e350fd5c0a43752
2177,GLAURUNG-112,10.59.144.230,23151,23152,f,7,12,e1937b4f226bccbb94eb09e20ae35af2,8115bab8fb84039d285421b1c9cad3cf,1d9c50148b957f49d28f1e75b271ee72,1b737137b8bfc4408077ecae5796b20e,de5a0ba7cbb28c6cf18141cbf3b0643e,40592dcd14b17b10eaae1589d4996ea3
2095,KIRINKI-101,10.59.144.230,10312,10313,f,0,0b,92ed97482b1ba84a08b0ddead35105c3,3dcb3d31c2a80a55836708a8c4bec45c,74b25ec689fbacbee88488a7ab398ed6,68b4f9baaa556ad410a063c3e6acae1b,a7c87c6c47b28e50033c518c3395dedc,19bea01a6b34df1f4d8a704d8e84daca
2096,KIRINKI-102,10.59.144.230,61379,61380,f,0,8,4cd7ea0e2e98c838553388a6b3eeccd1,30c30385e030816744f23ef45e692159,a5782908dcf4e9a7149798ee285cf6c5,de14e8e711af7c94eb2a2909134d81e7,c5a47ba48f97ef18027d100f6ccb21cb,dc46380a40e4189955c8d8761a51e147
2097,KIRINKI-103,10.59.144.230,14228,14229,f,0,1,6761a2f70fe36aaf559450ebf11acfda,9c6ace6093a0ef0f66ba672cfb7575dd,5589c5041c6132c61bfa607280359df4,d50839772825a6965b444137072f3499,9d5aeaec8d85f8fe9094a81651e99c78,f294d29ecd54e13e7ed9188e30dad4a2
2098,KIRINKI-104,10.59.144.230,22263,22264,f,0,0b,94ea6c6e7a4e917979a380ab9edc7da0,0bfba8be527218613ab1ae8a0364b679,92e0695d2681ca7118ea324d0f8e27e4,5db8abdf93632f4ba827050d81b784c2,c4c508108d2bab57b072a64b99248a2c,91053128db95d88c527c7ca3d8580ff5
2111,KIRINKI-105,10.59.144.230,4570,4571,f,6,7,e36a8cdf6465f4184f0672e54d170d47,a29718b4b0451d70cf1f22ead55058e2,0e870d0571bab6b130d0e5dd16180a93,21a5cc72809f77ac5a7ebec68370e3dd,66bfa47a8c796316dd1896409426bae4,1a70da694db7d21fe37b54913e6f9634
2112,KIRINKI-106,10.59.144.230,52795,52796,f,6,0b,2a58be3f51b2b184cb57d8daae627fef,6c6fd7f686a5ed85f31e48afd5df22ba,5a6cbee3c0b08f6ec8a252ffc442d0cf,ce1af7a3ebeca342870e8e4f5e8dfd64,8783461017aadea3bc2dd5ce16d76735,aef5e2caaded68578da2b728aa0e512b
2113,KIRINKI-107,10.59.144.230,60310,60311,f,1,0f,3ee3d0699defbfae796726b6524025dd,77f7fbe09a007277d6a6429909e01278,6b7d57239a44788311154b8ef9f687b0,bce31a5035ef553e20f95ba12eb3ff11,7766ec8fdd6feda4d7e271b10ddd6e6e,45403e2c13f7cd3ca4e485a4bf87b01b
